,NAME,EMAIL
0,    J K Place Roma,info@jkroma.com
1,    Aldrovandi Villa Borghese,hotel@aldrovandi.com
2,"    Aleph Rome Hotel, Curio Collection",alephrome.reservations@hilton.com
3,    Anantara Palazzo Naiadi Rome Hotel,palazzonaiadi@anantara-hotels.com
4,    Gran Melia Villa Agrippina,gran.melia.rome@melia.com
5,    Hotel Eden,reservations.her@dorchestercollection.com
6,    Hotel Hassler Roma,booking@hotelhassler.it
7,    Hotel Indigo Roma-St George,stgeorge@hotel-invest.com
8,    Hotel Majestic Roma,info@hotelmajestic.com
9,    Palazzo Montemartini Radisson Coll Hotel,info.palazzomontemartini@radissoncollection.com
10,    Portrait Roma,portraitroma@lungarnocollection.com
11,    Regina Hotel Baglioni,regina.roma@baglionihotels.com
12,    Rocco Forte Hotel de la Ville,reservations.delaville@roccofortehotels.com
13,    Rocco Forte Hotel de Russie,reservations.derussie@roccofortehotels.com
14,"    Rome Cavalieri, A Waldorf Astoria Hotel",RomeCavalieri.Reservations@waldorfastoria.com
15,    The St Regis Rome,stregisgrandrome@stregis.com
16,    Singer Palace Hotel,welcome@singerpalacehotel.com
17,    The Westin Excelsior Rome,excelsiorrome@westin.com
18,    Fendi Private Suites,info@fendiprivatesuites.com
19,    Grand Hotel de La Minerve,reservations@ghminerve.com
20,    Grand Hotel Palace,info.rome@millenniumhotels.com
21,    Grand hotel via Veneto,reservations@ghvv.it
22,    Lifestyle Suites Rome,info@lifestylesuitesrome.com
23,    Lord Byron Hotel,info@lordbyronhotel.com
24,    Marriott Grand Hotel Flora,info@grandhotelflora.net
25,    Marriott Park Hotel Rome,mhrs.oraomau.reception@marriott.com
26,    NH Collection Roma Palazzo Cinquecento,nhcollectionpalazzocinquecento@nh-hotels.com
27,    Palazzo Dama,reservation@palazzodama.com
28,    Palazzo Scanderbeg,info@palazzoscanderbeg.com
29,    Parco Dei Principi Grand Hotel & SPA,reservations@parcodeiprincipi.com
30,    Sina Bernini Bristol,reservationsbb@sinahotels.com
31,    Sofitel Rome Villa Borghese,H1312-re@accor.com
32,    Villa Spalletti Trivelli,info@villaspallettitrivelli.com
33,    All Time Relais & Sport Hotel,info@alltimehotels.it
34,    Ambasciatori Palace Hotel,info@ambasciatoripalace.com
35,    Argentina Residenza,info@argentinaresidenza.com
36,    Ariston Hotel,aristonrome@gmail.com
37,    A.Roma Lifestyle Hotel,info.aroma@ldchotels.com
38,    Art by the Spanish Steps,info@hotelart.it
39,    ATAHOTEL Villa Pamphili,booking@atahotels.it
40,    Babuino 181 Rome Luxury Suites,info@babuino181.com
41,    Babuino 79 Holiday Apartments,babuino79@outlook.it
42,    Barcelo Aran Mantegna Hotel,aranmantegna@barcelo.com
43,    Berg Luxury Hotel,booking@bergluxuryhotel.com
44,    Beside The Vatican B&B,office@besidethevatican.it
45,    Brunelleschi Luxury Holidays,brunelleschiluxuryholidays@gmail.com
46,    CasaCau Appartamenti a Treviso,casacau@casacau.com
47,    Casa Mia Vaticano,info@casamiavaticano.it
48,    Casa Montani,info@casamontani.com
49,    Castello Della Castelluccia,info@lacastelluccia.com
